Index,Spread,Favorite,Underdog
1,0,50.0%,50.0%
2,0.5,50.0%,50.0%
3,1,51.2%,48.8%
4,1.5,52.5%,47.5%
5,2,53.4%,46.6%
6,2.5,54.3%,45.8%
7,3,57.4%,42.6%
8,3.5,60.6%,39.4%
9,4,61.9%,38.1%
10,4.5,63.1%,36.9%
11,5,64.1%,35.9%
12,5.5,65.1%,34.9%
13,6,66.4%,33.6%
14,6.5,67.7%,32.3%
15,7,70.3%,29.7%
16,7.5,73.0%,27.0%
17,8,73.8%,26.2%
18,8.5,74.6%,25.4%
19,9,75.1%,25.0%
20,9.5,75.5%,24.5%
21,10,77.4%,22.6%
22,10.5,79.3%,20.8%
23,11,79.9%,20.1%
24,11.5,80.6%,19.4%
25,12,81.6%,18.4%
26,12.5,82.6%,17.4%
27,13,83.0%,17.0%
28,13.5,83.5%,16.5%
29,14,85.1%,14.9%
30,14.5,86.8%,13.2%
31,15,87.4%,12.6%
32,15.5,88.1%,12.0%
33,16,88.6%,11.5%
34,16.5,89.1%,11.0%
35,17,91.4%,8.6%
36,17.5,93.7%,6.3%
37,18,95.0%,5.1%
38,18.5,96.2%,3.8%
39,19,97.3%,2.7%
40,19.5,98.4%,1.6%
41,20+,100.0%,0.0%
